['9.3269667625', 2228]
['15.2690918446', 2837]
['7.9829778671', 2039]
['7.9647703171', 2044]
['12.4895293713', 2587]
['16.4997875690', 2967]
['12.0142037868', 2550]
['15.9684865475', 2869]
['13.1202101707', 2653]
['12.3119714260', 2581]
['11.1568071842', 2456]
['14.8449251652', 2822]
['7.7966144085', 2058]
['16.6669189930', 2991]
['7.8604261875', 2067]
['7.7949743271', 2055]
['10.2030045986', 2359]
['8.7497277260', 2177]
['10.1253643036', 2349]
['14.6233983040', 2785]
['16.7340145111', 2982]
['10.0443472862', 2290]
['8.0129301548', 2076]
['10.0150599480', 2334]
['9.7854170799', 2297]
['10.6295797825', 2399]
['11.3763251305', 2480]
['12.4689245224', 2598]
['15.5601840019', 2880]
['8.0474934578', 2085]
['16.3142671585', 2943]
['9.9843153954', 2329]
['16.2645847797', 2959]
['9.5345959663', 2278]
['16.6684665680', 2969]
['7.4372467995', 2007]
['8.8649950027', 2191]
['7.7149522305', 2043]
['16.3767049313', 2961]
['13.0435190201', 2653]
['16.0473065376', 2930]
['14.5925974846', 2791]
['11.6598343849', 2519]
['13.0601506233', 2654]
['7.9213745594', 2069]
['13.6416559219', 2718]
['16.4522144794', 2973]
['14.9079315662', 2835]
['14.0010352135', 2736]
['15.3897941113', 2872]
['10.2181506157', 2355]
['8.1563384533', 2096]
['10.3748013973', 2373]
['16.7528789043', 2997]
['8.1944470406', 2101]
['9.6420764923', 2287]
['7.7744233608', 2039]
['10.4372038841', 2377]
['13.1586146355', 2674]
['11.2276148796', 2466]
['10.5911986828', 2352]
